,symbol,best,base,worst,relative_best,relative_base,relative_worst
45,LNK.AX,47.55526014711385,24.85691929649,2.158578445866149,-2289.7115651816007,-1149.091421934171,-8.471278686741167
46,3788.T,1648.8344694614136,1316.306615768389,925.6077757503717,51.217915104691905,61.056017284958905,72.61515456359847
47,4072.T,7404.402053865061,6099.646334377603,4487.003353889662,-132.47730153422484,-91.51165885016023,-40.87922618177904
48,2327.T,4765.548331390379,3129.480236188421,1636.4986150400687,-18.25181963747838,22.345403568525537,59.39209391960127
49,9240.T,684.9511181577006,599.5405296056725,504.5622952477218,-44.80996155553925,-26.75275467350371,-6.672789692964441
50,6572.T,427.33303424890465,267.9234845030087,108.51393475711271,-14.260169585268622,28.362704678339924,70.98557894194848
51,4726.T,4433.159714272928,3773.1599854952797,3136.360366499785,-83.18841794516231,-55.915701879970236,-29.601668037181195
52,8056.T,4481.398654093423,3945.82098055008,3422.354565785002,-34.778906890027756,-18.671307685716695,-2.9279568657143398
53,2335.T,1812.2061133483016,1500.5280223799127,1142.856296919488,-57.72028836799841,-30.594257822446714,0.5347000070071426
54,9682.T,3860.2625672714853,3440.698068459137,3067.4693377055496,-9.51099481621235,2.391544157187598,12.979593256580152
55,2317.T,314.93567085175255,282.14807954549775,244.2260088582307,-0.9409201447924832,9.567923222596875,21.72243305825939
56,3984.T,1004.889800079147,714.8146152772737,482.8054415819451,53.455775818473974,66.89140271990395,77.63754323381448
57,7518.T,3537.001112909492,3223.312096211192,2899.5639255270316,-9.84475505930099,-0.102860130782362,9.951430884253675
58,3636.T,9147.324475392272,7343.5964039676865,5371.696407550231,-74.56726098076855,-40.14496954136806,-2.5132902204242558
59,EML.AX,2.243724550307835,1.5021545321356002,0.7605845139633655,-227.5510292420197,-119.29263242855477,-11.03423561508984
60,4396.T,2234.8481704901365,1851.142376252843,1488.9182742487883,-22.323380979208345,-1.3214217981851641,18.504746893881318
61,3666.T,666.0668515040821,571.175346918301,487.7453417225841,-15.436196101227406,1.009471937902775,15.468744935427365
62,4743.T,1451.9877335427425,1196.519828831754,922.228069663348,-47.11121920392527,-21.227946183561702,6.562505606550351
63,3979.T,928.1730422593542,685.8328675917211,443.4926929240879,44.75160462741939,59.176615024302315,73.60162542118525
64,3844.T,1458.0601923927213,1351.3640304267326,1218.9545121537806,31.770697595099612,36.763498810166936,42.959545523922294
65,4709.T,2314.3925742455804,2065.11894987101,1789.656827937618,-106.27384797197685,-84.05694740383333,-59.50595614417272
66,1447.T,1314.5071097437985,808.4379112029713,302.36871266214405,-230.2781682773363,-103.12510331732949,24.027961642677376
